"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Blattodea&show=coords,acconly"
"Access Time","Mon 2017-03-13 20:35:32 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Blattodea"
"","timerule","major"
"","taxon_status","all"
"","show","coords,acconly"
"Elapsed Time","0.168"
"Records Found","2578"
"Records Returned","2578"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"929699","occ","","","106345","Poroblattina arcuata","species","179339","Asselian","","298.9","295.5","35478","-105.983330","39.216667"
"929700","occ","","","106345","Poroblattina lakesii","species","179340","Asselian","","298.9","295.5","35478","-105.983330","39.216667"
"930175","occ","","","106431","Cryptotermes","genus","179824","Hemingfordian","","20.43","15.97","35523","-116.833336","34.950001"
"930176","occ","","","106431","Parastylotermes","genus","179825","Hemingfordian","","20.43","15.97","35523","-116.833336","34.950001"
"930178","occ","","","106431","Gnathotermes","genus","179826","Hemingfordian","","20.43","15.97","35523","-116.833336","34.950001"
"932391","occ","","","106966","Karatavoblatta formosa","species","181175","Late Barremian","","130","125.45","35672","119.254997","41.169998"
"932536","occ","","","138436","Nipponoblatta acerba","species","181265","Late Barremian","","130","125.45","35672","120.834999","41.615002"
"932537","occ","","","107000","Blattula curvula","species","181268","Callovian","Oxfordian","166.1","157.3","35672","117.605003","40.959999"
"932538","occ","","","107001","Elisama extenuata","species","175961","Late Barremian","","130","125.45","35672","117.958000","41.150002"
"932539","occ","","","107001","Blattula platypa","species","181275","Late Barremian","","130","125.45","35672","117.958000","41.150002"
"932540","occ","","","107001","Blattula delicatula","species","181276","Late Barremian","","130","125.45","35672","117.958000","41.150002"
"932541","occ","","","106965","Blattula rudis","species","181277","Late Aptian","","122.46","112.03","35672","116.080002","39.799999"
"932542","occ","","","106965","Jitermes tsaii","species","181281","Late Aptian","","122.46","112.03","35672","116.080002","39.799999"
"932545","occ","","","106965","Yanjingtermes giganteus","species","181283","Late Aptian","","122.46","112.03","35672","116.080002","39.799999"
"932546","occ","","","106965","Yongdingia opipara","species","181285","Late Aptian","","122.46","112.03","35672","116.080002","39.799999"
"932547","occ","","","106965","Huaxiatermes huangi","species","181288","Late Aptian","","122.46","112.03","35672","116.080002","39.799999"
"932548","occ","","","106965","Asiatermes reticulatus","species","181290","Late Aptian","","122.46","112.03","35672","116.080002","39.799999"
"932549","occ","","","106965","Mesotermopsis incompleta","species","181292","Late Aptian","","122.46","112.03","35672","116.080002","39.799999"
"932550","occ","","","106965","Mesotermopsis lata","species","181293","Late Aptian","","122.46","112.03","35672","116.080002","39.799999"
"934613","occ","","","107321","Ptyctoblattina simplicior","species","181218","Early Toarcian","","183","182","35656","10.588000","52.356998"
"934614","occ","","","107321","Liadoblattina blakei","species","201883","Early Toarcian","","183","182","35656","10.588000","52.356998"
"934615","occ","","","105002","Caloblattina mathildae","species","201879","Early Toarcian","","183","182","35656","10.615000","52.314999"
"934616","occ","","","105002","Caloblattina mathildae","species","201879","Early Toarcian","","183","182","35656","10.615000","52.314999"
"934617","occ","","","105002","Caloblattina mathildae","species","201879","Early Toarcian","","183","182","35656","10.615000","52.314999"
"934618","occ","","","105002","Caloblattina mathildae","species","201879","Early Toarcian","","183","182","35656","10.615000","52.314999"
"936590","occ","","","113365","Parvifuzia marsa","species","183701","Callovian","Oxfordian","166.1","157.3","35906","119.238609","41.316387"
"936591","occ","","","113365","Parvifuzia brava","species","183702","Callovian","Oxfordian","166.1","157.3","35906","119.238609","41.316387"
"937668","occ","","","108308","Blattodea","order","170227","Olenekian","","251.2","247.2","35925","62.389801","68.361000"
"938235","occ","","","107343","Ptyctoblattina dilatata","species","181219","Early Toarcian","","183","182","35656","10.739000","52.352001"
"938242","occ","","","107322","Caloblattina mathildae","species","201879","Early Toarcian","","183","182","35656","10.739000","52.352001"
"938370","occ","","","107555","Liadoblattina blakei","species","201883","Early Toarcian","","183","182","35656","10.588000","52.356998"
"938386","occ","","","107552","Blattula langfeldti","species","201892","Early Toarcian","","183","182","35656","10.746000","52.361000"
"938387","occ","","","107552","Blattula langfeldti","species","201892","Early Toarcian","","183","182","35656","10.746000","52.361000"
"938397","occ","","","107552","Liadoblattina blakei","species","201883","Early Toarcian","","183","182","35656","10.746000","52.361000"
"938562","occ","","","107323","Caloblattina mathildae","species","201879","Early Toarcian","","183","182","35656","10.615000","52.314999"
"939826","occ","","","108811","Samaroblatta africanum","species","56639","Sinemurian","","199.3","190.8","9818","28.750000","-30.420000"
"939827","occ","","","108811","Blattodea","order","170227","Sinemurian","","199.3","190.8","9818","28.750000","-30.420000"
"950128","occ","","","110855","Blattula liaoningensis","species","187464","Callovian","Oxfordian","166.1","157.3","36429","120.349998","40.966667"
"951481","occ","","","111215","Pedinoblatta stromeri","species","188983","Rhaetian","","208.5","201.3","36471","11.380000","49.367001"
"953737","occ","","","111540","Blattodea","order","170227","Artinskian","","290.1","279.3","36509","-99.134003","33.405998"
"954942","occ","","","111219","Permoblattina curta","species","176684","Artinskian","","290.1","279.3","5160","-97.209999","38.639999"
"954943","occ","","","111219","Permoblattina permiana","species","190272","Artinskian","","290.1","279.3","5160","-97.209999","38.639999"
"954944","occ","","","111219","Phyloblatta compacta","species","190283","Artinskian","","290.1","279.3","36528","-97.209999","38.639999"
"954945","occ","","","111219","Phyloblatta curvata","species","190286","Artinskian","","290.1","279.3","36528","-97.209999","38.639999"
"954946","occ","","","111219","Pycnoblattina","genus","176686","Artinskian","","290.1","279.3","36528","-97.209999","38.639999"
"954947","occ","","","111219","Spiloblattinidae","family","176682","Artinskian","","290.1","279.3","36528","-97.209999","38.639999"
"955598","occ","","","111777","Austromylacrites latus","species","190273","Norian","","228","208.5","36527","152.753998","-27.621000"
"955620","occ","","","111777","Blattodea","order","170227","Norian","","228","208.5","36527","152.753998","-27.621000"
"956610","occ","","","111558","Austroblattula ipsviciensis","species","191021","Norian","","228","208.5","36584","152.753998","-27.621000"
"956611","occ","","","111558","Samaroblatta intercalata","species","191019","Norian","","228","208.5","36584","152.753998","-27.621000"
