"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Blattodea&show=acconly"
"Access Time","Wed 2017-03-08 23:30:50 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Blattodea"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","0.177"
"Records Found","2578"
"Records Returned","2578"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"968519","occ","","","114637","Nannoblattina petulantia","species","195985","Late Sinemurian","","196.5","189.6","37125"
"968520","occ","","","114637","Rhipidoblattina","genus","193308","Late Sinemurian","","196.5","189.6","37125"
"968824","occ","","","34851","Blattodea","order","170227","Turonian","","93.9","89.8","37177"
"968928","occ","","","114768","Blattoidea","superfamily","191945","Olenekian","","251.2","247.2","37195"
"968975","occ","","","113404","Samaroblattella kenderlykensis","species","196913","Norian","","228","208.5","37202"
"968976","occ","","","114782","Subioblatta recta","species","196914","Norian","","228","208.5","37202"
"968977","occ","","","114782","Samaroblattella kenderlykensis","species","196913","Norian","","228","208.5","37202"
"968978","occ","","","110763","Subioblatta madygenica","species","196911","Carnian","","237","228","37202"
"968979","occ","","","106088","Subioblatta madygenica","species","196911","Carnian","","237","228","37202"
"969098","occ","","","113449","Sobytie tungusicum","species","196940","Griesbachian","","252.17","251.3","37213"
"969247","occ","","","114861","Blattodea","order","170227","Longobardian","","242","235","37215"
"969248","occ","","","114862","Mesoblattopsis franconica","species","196972","Carnian","","237","228","37215"
"970509","occ","","","115104","Anablatta compacta","species","197184","Longobardian","","242","235","37259"
"970510","occ","","","115104","Potrerilloblatta stipanicici","species","197186","Longobardian","","242","235","37259"
"970511","occ","","","115104","Delpuenteblatta dangeloi","species","197189","Longobardian","","242","235","37259"
"970512","occ","","","115104","Lariojablatta neiffi","species","197192","Longobardian","","242","235","37259"
"970514","occ","","","115104","Triassoblatta","genus","191010","Longobardian","","242","235","37259"
"970523","occ","","","23142","Triassoblatta robusta","species","197202","Carnian","","237","228","37260"
"970524","occ","","","23142","Samaroblatta","genus","191014","Carnian","","237","228","37260"
